#1				
double	AHU(8761, 5)		
536400	298.3416667	0.27	0.27	1
540000	298.4666667	0.2775	0.2775	1
543600	298.6227273	0.275454545	0.275454545	1
547200	298.5916667	0.274166667	0.274166667	1
550800	298.4772727	0.273636364	0.273636364	1
554400	298.9045455	0.266363636	0.266363636	1
558000	298.525	0.273333333	0.273333333	1
561600	298.0916667	0.274166667	0.274166667	1
565200	297.9416667	0.27	0.27	1
568800	298.15	0.268181818	0.268181818	1
572400	298.3666667	0.258333333	0.258333333	1
576000	297.9833333	0.2575	0.2575	1
579600	297.1166667	0.26	0.26	1
583200	297.0227273	0.255454545	0.255454545	1
586800	297.0083333	0.25	0.25	1
590400	297.2416667	0.243333333	0.243333333	1
594000	297.6772727	0.236363636	0.236363636	1
597600	298.1772727	0.226363636	0.226363636	1
601200	300.25	0.201818182	0.201818182	1
604800	300.675	0.2	0.2	1
608400	300.6666667	0.21	0.21	1
612000	300.7666667	0.233333333	0.233333333	1
615600	300.8863636	0.255454545	0.255454545	1
619200	300.79	0.273	0.273	1
622800	300.7416667	0.28	0.28	1
626400	300.825	0.28	0.28	1
630000	297.25	0.350909091	0.350909091	1
633600	292.33	0.468	0.468	1
637200	292.29	0.492	0.492	1
640800	292.1833333	0.5	0.5	1
644400	292.2583333	0.500833333	0.500833333	1
648000	292.4	0.51	0.51	1
651600	292.4833333	0.520833333	0.520833333	1
655200	292.4083333	0.514166667	0.514166667	1
658800	292.3583333	0.5175	0.5175	1
662400	292.375	0.521666667	0.521666667	1
666000	292.2416667	0.53	0.53	1
669600	292.2681818	0.52	0.52	1
673200	292.125	0.53	0.53	1
676800	292.1916667	0.53	0.53	1
680400	292.1166667	0.5325	0.5325	1
684000	296.3954545	0.423636364	0.423636364	1
687600	300.225	0.331666667	0.331666667	1
691200	300.55	0.32	0.32	1
694800	300.5916667	0.31	0.31	1
698400	300.6318182	0.31	0.31	1
702000	300.6666667	0.31	0.31	1
705600	300.7166667	0.31	0.31	1
709200	300.6833333	0.310833333	0.310833333	1
712800	300.7333333	0.32	0.32	1
716400	300.0583333	0.335833333	0.335833333	1
720000	292.55	0.5125	0.5125	1
723600	291.7916667	0.541666667	0.541666667	1
727200	291.725	0.550833333	0.550833333	1
730800	291.8083333	0.535833333	0.535833333	1
734400	291.5136364	0.543636364	0.543636364	1
738000	291.4166667	0.57	0.57	1
741600	291.575	0.57	0.57	1
745200	291.725	0.548333333	0.548333333	1
748800	291.55	0.5425	0.5425	1
752400	291.5409091	0.54	0.54	1
756000	291.4136364	0.533636364	0.533636364	1
759600	291.2590909	0.525454545	0.525454545	1
763200	295.6666667	0.411666667	0.411666667	1
766800	298.5666667	0.351666667	0.351666667	1
770400	300.5136364	0.310909091	0.310909091	1
774000	297.9083333	0.351666667	0.351666667	1
777600	298.5227273	0.330909091	0.330909091	1
781200	299.1681818	0.309090909	0.309090909	1
784800	299.4416667	0.294166667	0.294166667	1
788400	299.75	0.265	0.265	1
792000	299.8666667	0.269166667	0.269166667	1
795600	299.9916667	0.271666667	0.271666667	1
799200	300.1166667	0.274166667	0.274166667	1
802800	300.175	0.28	0.28	1
806400	300.15	0.2825	0.2825	1
810000	299.425	0.28	0.28	1
813600	299.2409091	0.28	0.28	1
817200	299.0583333	0.2775	0.2775	1
820800	299.2583333	0.27	0.27	1
824400	299.2833333	0.27	0.27	1
828000	299.2227273	0.27	0.27	1
831600	298.8166667	0.27	0.27	1
835200	298.225	0.27	0.27	1
838800	294.4833333	0.320833333	0.320833333	1
842400	291.65	0.370833333	0.370833333	1
846000	291.5916667	0.37	0.37	1
849600	296.6416667	0.275833333	0.275833333	1
853200	297.1666667	0.265833333	0.265833333	1
856800	296.6166667	0.265833333	0.265833333	1
860400	296.2583333	0.258333333	0.258333333	1
864000	296.0166667	0.260833333	0.260833333	1
867600	295.85	0.273333333	0.273333333	1
871200	295.7583333	0.2825	0.2825	1
874800	295.7666667	0.290833333	0.290833333	1
878400	295.7583333	0.29	0.29	1
882000	296.05	0.281818182	0.281818182	1
885600	296.1	0.275833333	0.275833333	1
889200	296.3833333	0.259166667	0.259166667	1
892800	296.1333333	0.251666667	0.251666667	1
896400	295.975	0.255833333	0.255833333	1
900000	296.0772727	0.245454545	0.245454545	1
903600	295.3916667	0.25	0.25	1
907200	294.225	0.265833333	0.265833333	1
910800	294.5583333	0.261666667	0.261666667	1
914400	294.7833333	0.26	0.26	1
918000	295.025	0.26	0.26	1
921600	294.95	0.26	0.26	1
925200	295.1318182	0.256363636	0.256363636	1
928800	295.1136364	0.25	0.25	1
932400	295.1590909	0.246363636	0.246363636	1
936000	295.1590909	0.248181818	0.248181818	1
939600	295.0583333	0.25	0.25	1
943200	295.2833333	0.25	0.25	1
946800	295.075	0.25	0.25	1
950400	295.025	0.25	0.25	1
954000	295.55	0.243	0.243	1
957600	296.15	0.233846154	0.233846154	1
961200	300.0166667	0.186666667	0.186666667	1
964800	300.5416667	0.18	0.18	1
968400	300.6318182	0.18	0.18	1
972000	300.6666667	0.181666667	0.181666667	1
975600	300.6136364	0.181818182	0.181818182	1
979200	300.6681818	0.188181818	0.188181818	1
982800	300.7416667	0.19	0.19	1
986400	300.925	0.193333333	0.193333333	1
990000	301.025	0.204166667	0.204166667	1
993600	300.9590909	0.21	0.21	1
997200	301.0166667	0.223333333	0.223333333	1
1000800	301.125	0.233333333	0.233333333	1
1004400	301.2166667	0.23	0.23	1
1008000	301.2083333	0.23	0.23	1
1011600	301.2	0.23	0.23	1
1015200	301.1083333	0.2325	0.2325	1
1018800	300.9772727	0.237272727	0.237272727	1
1022400	300.3333333	0.246666667	0.246666667	1
1026000	300.525	0.241666667	0.241666667	1
1029600	300.6318182	0.25	0.25	1
1033200	300.7045455	0.243636364	0.243636364	1
1036800	300.7666667	0.24	0.24	1
1040400	300.8	0.2375	0.2375	1
1044000	300.9136364	0.231818182	0.231818182	1
1047600	300.9416667	0.226666667	0.226666667	1
1051200	300.9916667	0.22	0.22	1
1054800	301.03	0.22	0.22	1
1058400	301.0833333	0.213333333	0.213333333	1
1062000	301.0954545	0.21	0.21	1
1065600	301.1333333	0.205833333	0.205833333	1
1069200	301.15	0.211538462	0.211538462	1
